time,exact_position,float64_exact_position,low_precision_exact_position,float64_biased_position
0,1,1,1,1
0.12,0.992808635854,0.9928,0.9928,0.992944
0.24,0.971337974852,0.97130368,0.9713,0.971875574272
0.36,0.935896823678,0.935820587008,0.9358,0.93709204044
0.48,0.886994922779,0.886861677563,0.8868,0.889084263733
0.6,0.82533561491,0.825131959961,0.8251,0.828529729896
0.72,0.751805729141,0.751520342136,0.7515,0.756282984512
0.84,0.667462825841,0.667086831384,0.6671,0.673363573649
0.96,0.573519986072,0.57304727026,0.5731,0.580941656036
1.08,0.471328364174,0.470755828444,0.4708,0.480321489772
1.2,0.362357754477,0.361685502699,0.3617,0.372923026645
1.32,0.248175451652,0.247406905715,0.2474,0.260261873765
1.44,0.130423708738,0.129565649288,0.1296,0.143927905323
1.56,0.0107961170583,0.0098586475122,0.0099,0.0255628262815
1.68,-0.10898675224,-0.109990318788,-0.1099,-0.0931629953648
1.8,-0.227202094693,-0.228255424498,-0.2282,-0.21057410082
1.92,-0.342149651151,-0.343233652095,-0.3432,-0.325013584565
2.04,-0.452176162141,-0.453269315102,-0.4532,-0.434866476605
2.16,-0.555699146251,-0.556777899971,-0.5567,-0.538582532927
2.28,-0.651229660528,-0.652268883081,-0.6522,-0.634698112544
2.4,-0.737393715541,-0.738367194275,-0.7383,-0.721856832397
2.52,-0.8129520371,-0.813833017871,-0.8138,-0.798828708631
2.64,-0.876817890394,-0.877579646009,-0.8776,-0.864527514128
2.76,-0.928072710209,-0.928689127245,-0.9287,-0.918026107347
2.88,-0.965979312398,-0.966425485049,-0.9664,-0.958569516138
3,-0.9899924966,-0.990245315868,-0.9902,-0.985585591918
3.12,-0.999766887713,-0.999805614138,-0.9998,-0.998693083825
3.24,-0.995161903324,-0.994968711565,-0.995,-0.997707018933
3.36,-0.976243775672,-0.975804259546,-0.9758,-0.982641312589
3.48,-0.943284599048,-0.942588226189,-0.9426,-0.953708572043
3.6,-0.896758416334,-0.895798922374,-0.8958,-0.911317096127
3.72,-0.837334400974,-0.836110114078,-0.8361,-0.856065113351
3.84,-0.765867232435,-0.764381320139,-0.7644,-0.788732339696
3.96,-0.683384803583,-0.68164543519,-0.6817,-0.710268975263
4.08,-0.591073436783,-0.589093855974,-0.5892,-0.62178229505
4.2,-0.490260821341,-0.488059325232,-0.4882,-0.52452102309
4.32,-0.382396917713,-0.379996740207,-0.3801,-0.419857710453
4.44,-0.269033103117,-0.266462202123,-0.2666,-0.309269365805
4.56,-0.151799858498,-0.149090608328,-0.1492,-0.194316611867
4.68,-0.0323833177597,-0.0295721097732,-0.0297,-0.0766216619023
4.8,0.0874989834394,0.0903722271622,0.0902,0.0421545729551
4.92,0.206122810534,0.209015204026,0.2088,0.160335922479
5.04,0.32178202925,0.324648361953,0.3244,0.276254611465
5.16,0.432813144469,0.435606583467,0.4354,0.388274795374
5.28,0.537619225831,0.540292070179,0.5401,0.49481564537
5.4,0.634692875943,0.637197351081,0.637,0.594373656979
5.52,0.722637910871,0.724926990127,0.7248,0.685543867541
5.64,0.800189441073,0.802217680515,0.8021,0.767039683044
5.76,0.866232063962,0.867956436304,0.8679,0.83771103454
5.88,0.919815906437,0.92119661941,0.9212,0.896560607916
6,0.96017028665,0.961171571197,0.9612,0.942757917994
6.12,0.986714798517,0.987305652358,0.9874,0.975651028333
6.24,0.999067659534,0.999222532126,0.9994,0.99477575136
6.36,0.997051201859,0.99675060743,0.997,0.999862198984
6.48,0.980694427654,0.979925473988,0.9802,0.990838591255
6.6,0.950232591959,0.94898941372,0.9493,0.967832269327
6.72,0.906103819078,0.904387905895,0.9047,0.931167898415
6.84,0.848942801164,0.846763212225,0.8471,0.881362886119
6.96,0.779571669604,0.776945128299,0.7773,0.819120080775
7.08,0.698988170536,0.695939034525,0.6963,0.745317852851
7.2,0.608351314532,0.604911418654,0.6053,0.660997699388
7.32,0.508964706865,0.505173078355,0.5056,0.56734954639
7.44,0.402257798109,0.398160245727,0.3986,0.465694956595
7.56,0.289765324738,0.285413905561,0.2858,0.357468479571
7.68,0.173105235434,0.168557605155,0.1689,0.244197407364
