dense_bridge_center,dense_bridge_adjacent_overlap,sparse_bridge_center,sparse_bridge_adjacent_overlap
-2,0.194166666667,-2,0
-1.2,0.311666666667,2,
-0.6,0.300833333333,,
0,0.318333333333,,
0.6,0.324166666667,,
1.2,0.180833333333,,
2,,,
