time,replica_index,volume_factor,number_density,pressure,kinetic_temperature,potential_energy_per_atom,total_energy_per_atom
16,0,0.985703564058,1.01450378842,-0.31757910959,0.671281696751,-6.85083825203,-5.8439157069
16.16,0,0.994301139632,1.00573152352,-0.643985807113,0.696705541561,-6.84277095178,-5.79771263944
16.32,0,0.987483078001,1.01267558126,-0.439548651928,0.787488544243,-6.84813724066,-5.66690442429
16.48,0,0.971661625067,1.02916485966,0.407395337211,0.512601945879,-6.86010284797,-6.09119992915
16.64,0,0.975650595658,1.02495709473,0.153328164592,0.721437477098,-6.85808801857,-5.77593180293
16.8,0,0.969453203218,1.03150930512,0.691575672454,0.825227858879,-6.86095161922,-5.62310983091
16.96,0,0.968899131181,1.03209918124,0.699507624711,0.568281730878,-6.86095524902,-6.0085326527
17.12,0,0.963580348293,1.03779617525,0.663585298771,0.723177918173,-6.86093033771,-5.77616346045
17.28,0,0.974003446555,1.02669041217,0.621688282483,0.775064215018,-6.86087360888,-5.69827728635
17.44,0,0.969584147773,1.03136999743,0.788843893351,0.710346324181,-6.86092384722,-5.79540436095
17.6,0,0.963754259599,1.03760890293,0.838715922418,0.605564681925,-6.86084942864,-5.95250240576
17.76,0,0.980376237598,1.02001656267,0.0385350269285,0.721984140168,-6.85675976608,-5.77378355583
17.92,0,0.985797999606,1.01440660298,-0.413382948374,0.859956874432,-6.84874726323,-5.55881195158
18.08,0,0.980181621866,1.02021908766,0.235115745442,0.548416926399,-6.85887260627,-6.03624721667
18.24,0,0.976432807847,1.02413601014,0.280819485699,0.801649383146,-6.85925401248,-5.65677993776
18.4,0,0.960391114796,1.04124245278,1.04707764693,0.670663958743,-6.86011277339,-5.85411683528
18.56,0,0.963264215574,1.03813676853,0.758834944706,0.666863581818,-6.86094910298,-5.86065373025
18.72,0,0.957304970132,1.04459919378,1.26984494375,0.736434301479,-6.85860031487,-5.75394886265
18.88,0,0.9551502745,1.04695567462,1.45394321997,0.723152067213,-6.85681751439,-5.77208941357
19.04,0,0.940520631539,1.06324089708,2.49812010536,0.643787373567,-6.83868353453,-5.87300247418
19.2,0,0.946662029331,1.05634320277,2.23719453654,0.637662594126,-6.84438973579,-5.8878958446
19.36,0,0.945927557981,1.05716340703,2.03022922755,0.764118682635,-6.84838628768,-5.70220826372
19.52,0,0.95343928594,1.04883448243,1.53494685935,0.596983610326,-6.85588713546,-5.96041171997
19.68,0,0.9618486285,1.0396646316,1.27720944863,0.825741416436,-6.85853805615,-5.61992593149
19.84,0,0.967455939885,1.03363880335,0.808641106486,0.633558354972,-6.86089913063,-5.91056159817
20,0,0.960624296394,1.04098970196,1.26439186822,0.545201074728,-6.85864591944,-6.04084430735
20.16,0,0.952076817071,1.05033541629,1.67752557504,0.724439013775,-6.85404079518,-5.76738227451
20.32,0,0.952030884392,1.05038609187,1.71299507052,0.456038608886,-6.85354107857,-6.16948316524
20.48,0,0.964047640571,1.03729313565,1.20436369711,0.967714351897,-6.85911990259,-5.40754837474
20.64,0,0.974089243337,1.02659998233,0.62623950366,0.757474716595,-6.860881225,-5.72466915011
20.8,0,0.970896650312,1.02997574425,0.552815144415,0.785864458926,-6.86071459673,-5.68191790834
20.96,0,0.972266733813,1.02852433928,0.551704304102,0.807112287167,-6.86071135405,-5.6500429233
21.12,0,0.974189224892,1.02649462183,0.376522636543,0.636364866651,-6.85992348421,-5.90537618424
21.28,0,0.960506430993,1.0411174436,1.20150934924,0.819467155546,-6.85914115194,-5.62994041862
21.44,0,0.943731775757,1.05962311081,2.04670117903,0.760631262041,-6.84808601746,-5.7071391244
21.6,0,0.950471489711,1.05210941183,1.6457814924,0.525099345788,-6.85447451132,-6.06682549264
21.76,0,0.945507341881,1.05763324694,2.1791179853,0.696352628629,-6.84555974173,-5.80103079879
21.92,0,0.960597882768,1.04101832613,1.15315025859,0.56856365851,-6.8594831941,-6.00663770634
22.08,0,0.976819985038,1.02373007854,0.316012208657,0.585759447398,-6.85952034245,-5.98088117136
22.24,0,0.967714738694,1.03336237428,0.98502211514,0.67809556622,-6.86040261117,-5.84325926184
22.4,0,0.958829523887,1.04293826492,1.28827603036,0.737992127277,-6.85844305879,-5.75145486787
22.56,0,0.959336366427,1.04238725331,1.1634827437,0.825593200686,-6.8594129748,-5.62102317377
22.72,0,0.948965872892,1.05377867483,1.57589049013,0.795545590269,-6.85538387921,-5.6620654938
22.88,0,0.957384563639,1.04451234956,1.48429469459,0.764935035896,-6.85647915146,-5.70907659761
23.04,0,0.96776476918,1.0333089526,0.912007178156,0.753778474237,-6.8606676762,-5.72999996485
23.2,0,0.978385967385,1.02209151944,0.393739029052,0.727249501528,-6.86002568262,-5.76915143033
23.36,0,0.980692687576,1.01968742366,0.0282914687995,0.746383907636,-6.85662804326,-5.73705218181
23.52,0,0.977453590073,1.02306647615,0.199851357885,0.61789142055,-6.85855051948,-5.93171338865
23.68,0,0.977295037715,1.02323245428,0.193176027575,0.749715121374,-6.85848679776,-5.7339141157
23.84,0,0.972249794021,1.02854225956,0.298594704474,0.790017284291,-6.85939148532,-5.67436555888
24,0,0.964269970516,1.03705396888,0.604304768345,0.654641706181,-6.8608412373,-5.87887867803
24.16,0,0.969972088659,1.03095750042,0.60289974841,0.760082265634,-6.86083839313,-5.72071499468
24.32,0,0.971743425175,1.02907822589,0.430634784137,0.772387437389,-6.86022627818,-5.7016451221
24.48,0,0.983731945152,1.01653708099,-0.195627958297,0.679713974709,-6.85318572985,-5.83361476779
24.64,0,0.979487933489,1.02094162246,0.0324600520792,0.745252012647,-6.85668191203,-5.73880389306
24.8,0,0.979108434565,1.02133733578,0.413355630082,0.640372848339,-6.86013544956,-5.89957617705
24.96,0,0.981961443114,1.0183699238,0.199537350575,0.492210854504,-6.85854754173,-6.12023125997
25.12,0,0.986621753656,1.01355965069,-0.346219583206,0.725983986299,-6.85023634401,-5.76126036456
25.28,0,0.977286768305,1.02324111247,0.013096503518,0.584304316852,-6.85642860207,-5.97997212679
25.44,0,0.982147994044,1.01817649281,-0.116747873959,0.671910726381,-6.85452346442,-5.84665737485
25.6,0,0.989827153324,1.01027739706,-0.366954595749,0.809410317208,-6.84978830662,-5.63567283081
25.76,0,0.996725972395,1.00328478207,-0.646331861922,0.680196079476,-6.84270300269,-5.82240888347
25.92,0,0.98542470195,1.01479087953,-0.547611525414,0.627094830511,-6.84543559348,-5.90479334772
26.08,0,0.978418590509,1.02205744014,0.155139936229,0.863529764935,-6.85810683732,-5.56281218992
26.24,0,0.977941620449,1.02255592674,0.178543119426,0.707871858238,-6.85834402876,-5.7965362414
26.4,0,0.981879198707,1.01845522475,0.0416056756426,0.681749988368,-6.85679882512,-5.83417384257
26.56,0,0.976361096196,1.02421123076,0.11513778333,0.636193456586,-6.85767596347,-5.90338577859
26.72,0,0.983370020675,1.01691121244,-0.275555976452,0.904808343056,-6.85168622638,-5.4944737118
26.88,0,0.976166827887,1.02441506045,0.242093566533,0.862384192742,-6.85893345588,-5.56535716676
