volume_factor,volume,number_density,pressure,potential_energy_per_atom
0.94,30.08,1.06382978723,2.63972010658,-6.83529017765
0.97,31.04,1.03092783505,0.624176607486,-6.86087781699
1,32,1,-0.904502234439,-6.83428528083
1.03,32.96,0.970873786408,-2.05625557288,-6.76835584699
1.06,33.92,0.943396226415,-2.91529514486,-6.67304246421
