time,fast_barostat_volume,fast_barostat_pressure,slow_barostat_volume,slow_barostat_pressure
25,999.892114883,1.01078851166,1000.59381357,0.940618642923
25.25,1000.65419472,0.934580528005,999.803585227,1.01964147735
25.5,995.869355291,1.41306447093,1001.01901188,0.898098812014
25.75,996.215225165,1.37847748354,1002.16674202,0.783325797769
26,1001.63002004,0.836997996111,1000.65845853,0.934154146885
26.25,1001.02330346,0.897669654423,1001.01751503,0.898248496664
26.5,999.959711854,1.00402881458,1001.53903455,0.846096545099
26.75,999.933290163,1.00667098365,1000.74972435,0.925027564949
27,999.322067547,1.06779324528,999.606805189,1.03931948106
27.25,1004.21860207,0.578139792997,998.464816135,1.15351838646
27.5,999.696034411,1.0303965589,999.133711597,1.08662884027
27.75,1000.45259991,0.954740009263,996.311326479,1.36886735206
28,1006.70189688,0.329810311992,995.62353492,1.43764650798
28.25,1002.91057887,0.708942113144,994.957656055,1.50423439448
28.5,1004.15059062,0.584940937589,993.878764982,1.61212350175
28.75,1001.86103767,0.813896232891,995.934903204,1.40650967962
29,1000.37848383,0.962151616964,995.704975308,1.4295024692
29.25,998.492382766,1.15076172345,995.570530007,1.44294699928
29.5,1002.08715457,0.791284543054,995.2894005,1.47105994995
29.75,1000.42632957,0.95736704257,994.748434304,1.52515656956
30,994.410518684,1.55894813161,994.603727078,1.53962729221
30.25,998.00929327,1.19907067299,994.236423772,1.57635762281
30.5,994.947210763,1.50527892371,996.043231267,1.39567687333
30.75,999.29872508,1.07012749199,998.024727803,1.19752721969
31,1001.53966648,0.846033351601,998.548533356,1.14514666443
31.25,999.892927389,1.01070726114,1000.18832033,0.98116796658
31.5,997.540387943,1.24596120568,1000.84935386,0.915064613753
31.75,999.938046634,1.00619533663,1000.33054078,0.96694592198
32,998.271248923,1.17287510774,1001.62307846,0.837692153718
32.25,996.533859678,1.34661403223,1001.84822483,0.815177516741
32.5,996.760251943,1.32397480567,1002.5727424,0.742725760374
32.75,998.713309816,1.12866901836,1002.32771639,0.767228361382
33,997.13738894,1.28626110599,1001.24615637,0.875384362673
33.25,999.43768732,1.05623126799,1001.02137854,0.897862145589
33.5,999.123708783,1.08762912168,1000.3022652,0.969773480102
33.75,995.034160035,1.49658399649,1001.59018618,0.840981382472
34,999.120324232,1.08796757681,999.988826055,1.00111739453
34.25,995.674526028,1.4325473972,1001.45693741,0.854306258967
34.5,998.935242803,1.10647571972,1000.47972608,0.952027391631
34.75,1003.58228596,0.641771404119,1000.45039856,0.954960143673
35,999.18063858,1.08193614198,1000.16080943,0.983919057141
35.25,996.752471328,1.32475286716,1002.11977729,0.788022270691
35.5,997.384282118,1.26157178816,1003.21766493,0.678233506837
35.75,999.379329258,1.06206707425,1002.9203825,0.707961750276
36,997.615908161,1.23840918394,1003.14940351,0.685059649091
36.25,996.819290172,1.31807098281,1002.2414708,0.775852920339
36.5,996.676929074,1.33230709263,1001.70966006,0.829033993637
36.75,998.880094641,1.11199053588,1000.91762175,0.908237824738
37,996.649048284,1.33509517165,1000.63367879,0.936632121469
37.25,999.357831231,1.06421687687,1000.85943418,0.914056582499
37.5,997.122548268,1.28774517317,1001.9630581,0.803694189548
37.75,1004.28929401,0.571070599009,1000.68542709,0.931457290607
38,1005.50225552,0.449774448419,1000.43776962,0.95622303792
38.25,1005.85118891,0.414881109163,999.581577247,1.04184227531
38.5,1005.94894946,0.405105054208,998.744702136,1.12552978643
38.75,1004.06179895,0.593820105265,999.25635337,1.07436466302
39,1005.54902591,0.445097408874,1000.45345716,0.954654284177
39.25,1004.44022368,0.555977632326,1001.03896155,0.896103845484
39.5,1000.85356638,0.914643362042,1002.83868278,0.716131721973
39.75,1000.42621436,0.957378563696,1002.82569363,0.717430637016
40,1000.06355659,0.993644341211,1002.95081249,0.704918751257
40.25,1001.92469481,0.807530518873,1001.9354153,0.806458470188
40.5,1001.81610218,0.818389782146,1001.47209947,0.852790053488
40.75,1003.48683062,0.651316938249,1002.10082503,0.78991749726
41,1002.46912408,0.753087592074,1001.92827669,0.807172330925
41.25,1002.49638572,0.750361428127,1002.4234689,0.757653110105
41.5,1008.42809534,0.15719046561,1001.78739931,0.821260068688
41.75,1005.3713301,0.462866990176,1002.05219117,0.794780882691
42,1002.6061291,0.739387090179,1000.00358544,0.999641455898
42.25,1005.653776,0.434622400457,999.273129149,1.07268708511
42.5,1002.25047123,0.774952876623,998.300692096,1.16993079044
42.75,999.151602127,1.08483978735,998.248025633,1.17519743675
43,999.349991878,1.06500081222,997.866938258,1.21330617417
43.25,995.138250121,1.48617498786,996.534539081,1.3465460919
43.5,1003.48035465,0.651964535256,998.740122129,1.12598778709
43.75,1000.88277286,0.91172271384,998.807901379,1.11920986208
44,997.080712343,1.29192876565,999.290661459,1.07093385406
44.25,998.822798359,1.11772016408,999.555878924,1.04441210757
44.5,1004.51306943,0.548693057152,999.695096145,1.03049038551
44.75,1005.58111792,0.441888207684,998.804658838,1.1195341162
45,1002.20986976,0.779013024401,997.007700842,1.29922991585
45.25,997.485291332,1.2514708668,997.769952951,1.22300470489
45.5,998.632684369,1.1367315631,999.532525505,1.04674744953
45.75,1000.23227592,0.976772408445,999.136007256,1.08639927441
46,999.251759478,1.07482405218,998.279625806,1.17203741938
46.25,997.553582854,1.24464171464,997.98796234,1.20120376599
46.5,998.126694242,1.1873305758,998.508770915,1.14912290846
46.75,1000.53063898,0.946936101781,1000.42141712,0.957858288016
47,999.076140894,1.09238591056,1002.3559847,0.764401530049
47.25,997.172653408,1.28273465921,1001.18717749,0.88128225081
47.5,996.532812848,1.34671871523,1000.1461966,0.985380339966
47.75,998.685815727,1.13141842729,999.924020701,1.00759792991
48,1000.42527237,0.95747276314,1001.16844665,0.883155334559
48.25,998.746228402,1.12537715975,1001.35400487,0.864599513316
48.5,998.44436782,1.155563218,1000.45963559,0.954036440847
48.75,999.066189572,1.0933810428,1000.5246726,0.94753274005
49,999.911116577,1.00888834226,1000.75077699,0.924922301257
49.25,1000.39893494,0.960106505747,1000.73658805,0.92634119466
49.5,1002.54828047,0.745171953389,1001.79397162,0.820602838243
49.75,1002.62333668,0.737666332121,1000.23378401,0.976621599464
50,1003.22454553,0.677545447226,999.819437196,1.01805628036
50.25,1004.22719115,0.577280885301,1000.52507862,0.94749213752
50.5,1002.64226759,0.735773240831,1001.94406798,0.805593201592
50.75,1002.4743921,0.752560790093,1002.4167281,0.758327190472
51,1000.69943661,0.930056338568,1003.4622937,0.653770630085
51.25,1001.27312243,0.872687757176,1004.17394798,0.582605202094
