grid,true_pmf,bias,reconstructed_pmf,visit,record_step,record_bias_range,forward_work,reverse_work,fast_forward_steered_work,fast_reverse_steered_work,slow_forward_steered_work,slow_reverse_steered_work,pair_grid,pair_true_pmf,pair_fast_forward_work,pair_fast_reverse_work,pair_slow_forward_work,pair_slow_reverse_work
-2.5,27.5625,5.625362196e-08,2.8242766666,-0.75,10,0.1083120885,0.426989335768,1.82088646567,16.2716794837,15.5506320443,-5.55254653289,0.150032394351,0.92,5.28262520391,7.97326322554,3.65416607419,2.20795816849,1.34576753605
-2.49583333333,27.3443655964,6.60813619011e-08,2.82427665537,1.12083333333,20,0.239873265477,0.134883924207,0.618215977976,24.5498898833,31.8362099858,-13.6742740407,-7.863082822,0.92306,4.98776810915,5.63060555783,10.051684424,2.3434822558,1.70905539205
-2.49166666667,27.1274594956,7.75586357646e-08,2.82427664225,-0.708333333333,30,0.315403352139,1.16449472441,0.105813006398,60.0614821366,22.8092747068,-0.592738316181,-8.35313694311,0.92612,4.70785238727,5.58865341006,7.35683274142,3.31417428366,1.83131209594
-2.4875,26.9117773682,9.09502916981e-08,2.82427662695,-1,40,0.359140806992,0.643954758208,0.0699626875382,47.5311047548,-5.31160936405,-1.35650822094,-1.08298395078,0.92918,4.44214436044,9.34521744643,8.22016325777,4.25806547422,0.765384270157
-2.48333333333,26.697314892,1.06561633225e-07,2.8242766091,-1.38333333333,50,0.433539519192,1.09102275481,0.895058530771,19.3247986259,16.7335090088,-3.96218093306,13.3985094035,0.93224,4.1899473145,7.83463284893,11.7887670644,4.18473837017,0.703088718392
-2.47916666667,26.484067752,1.24744255881e-07,2.82427658832,0.879166666667,60,0.47277983238,0.788347730892,0.475453571421,8.00842412815,23.0456028107,3.10410827798,5.35437249191,0.9353,3.95059955526,9.4009643345,6.2691503494,3.47812256646,1.19468866143
-2.475,26.2720316406,1.45902671341e-07,2.82427656414,0.0291666666667,70,0.553946467346,-1.09889312874,0.823881697559,23.0749679777,8.90822786447,8.60535457836,7.4657498083,0.93836,3.7234725719,7.66667341369,8.1341384216,2.15834327901,2.24953042305
-2.47083333333,26.0612022572,1.70501816944e-07,2.82427653603,0.829166666667,80,0.618979648322,-0.439159183661,-0.392585477591,-15.3774108573,35.5574049099,4.09746646052,9.34274835729,0.94142,3.50796930155,8.39780911295,8.70249026579,3.22250012103,-0.629664454808
-2.46666666667,25.8515753086,1.99075559526e-07,2.82427650337,1.35833333333,90,0.66693402359,1.72725517926,0.327364691531,12.3972457701,40.8580790447,-1.61913610909,19.329977018,0.94448,3.30352248898,8.6237699711,7.52825527864,2.46815424615,1.70070303736
-2.4625,25.6431465088,2.32236314449e-07,2.82427646548,1.27916666667,100,0.682766217124,1.87346566754,0.55753399297,31.7761057446,11.2138187148,11.5869970843,-5.94644842077,0.94754,3.10959313598,5.45744220612,7.75100590432,2.80492860735,1.51963098795
-2.45833333333,25.4359115789,2.70685913935e-07,2.82427642153,1.19583333333,110,0.759903683779,-0.59799292356,-0.726749492374,14.3074013921,10.9210619843,-1.32248567455,-9.76496708733,0.9506,2.92566903539,9.01617171032,8.84783746559,3.10544531258,1.36227289431
-2.45416666667,25.2298662474,3.15227873136e-07,2.82427637063,-0.508333333333,120,0.821382847588,-0.742157267617,-0.0267254008928,25.470651263,51.6886963653,15.3958363445,9.08059097949,0.95366,2.75126338473,11.7863627695,9.43834298058,2.15159943147,1.33999243732
-2.45,25.02500625,3.66781218111e-07,2.82427631171,1.00833333333,130,0.945378173134,-0.024159593023,0.973542403975,22.2455911562,31.9040523721,2.21475160045,8.84372483232,0.95672,2.58591347511,11.2135752313,8.15157176205,4.13211352288,0.44239803696
-2.44583333333,24.8213273296,4.26396056949e-07,2.82427624358,1.475,140,1.04357719417,1.86285712807,-0.313900360162,15.5276101545,14.734442889,5.29137766839,23.3875499708,0.95978,2.42917945094,6.68601746643,3.85109680759,2.49838423095,-0.00860605460406
-2.44166666667,24.6188252363,4.95271093847e-07,2.82427616486,-1.27916666667,150,1.0443775725,0.58950976252,-0.627251403757,19.3054645644,21.0379880957,19.9717127502,18.0018289596,0.96284,2.2806431366,11.3225653396,9.70705752783,0.517368339011,1.5389617325
