time,replica_0_observable,replica_1_observable,replica_2_observable,replica_3_observable
0,3.78048425759,5.46395574334,3.61827635325,2.17855031118
4,3.82262646227,5.21019959233,3.66848844411,1.81810139828
8,3.44581893645,4.67563331197,4.2086925862,2.47145113096
12,4.4148464315,5.04537972197,4.18218068463,2.66146394676
16,4.85351193413,5.018028649,3.42431105394,2.53692901765
20,4.74057334953,4.42091288925,3.5225224809,2.14763232496
24,4.87159178213,3.11911606263,4.37510032183,2.50857451906
28,3.94322287968,2.22165665825,4.08178045282,2.34218246736
32,3.6855146439,1.83095093008,4.49333072072,2.74566301629
36,3.66126158626,1.05290832488,4.09817442847,2.97914913533
40,2.48089811497,0.529090419562,3.80518638666,2.97717532715
44,2.20057968529,0.0537360146853,3.35968880096,2.74651810433
48,2.84754951021,0.192162891094,3.65975182146,3.09492081272
52,3.23289955007,0.428844999246,3.82581784034,3.24892590297
56,2.02763597534,-0.0885352025033,2.62793798539,2.97822156706
60,1.78640726983,0.09037931937,2.82896967822,2.98958325118
64,2.31941010864,0.228556556773,2.6416905737,3.17352127648
68,2.03231523851,0.411745105718,2.20294544639,2.05126003246
72,1.97871829576,1.30624627216,2.39430281766,2.27124840977
76,2.03419351356,1.33985283332,2.37613491668,2.38755237537
80,1.50478410728,0.82837837861,1.75797023838,3.11304000668
84,2.08028708649,1.02756245693,1.80234639986,2.32120953853
88,1.53250346164,0.591277575125,1.59325553315,2.0205010376
92,1.58860775108,0.395813658919,1.20064647303,2.12803666644
96,1.3145369602,0.660876584196,1.70255576212,2.14867324104
100,0.977068626855,0.432072896564,1.80570946599,1.4284047232
104,0.918963800841,0.302464713632,1.62331691121,1.52192701093
108,1.56522302858,0.0147679457552,1.74604506634,0.381807015101
112,1.49382077227,0.532339924361,2.15066725375,0.525563110112
116,1.75991893028,0.404794450397,1.73530864179,0.996988407181
120,2.00640289491,1.12224537253,1.28779779333,0.919459824411
124,3.03217269447,1.48010746027,1.43610367913,1.2174254183
128,2.99358246561,1.96597028489,0.858251834547,1.40485383711
132,2.5273128378,2.28976333415,0.264349934755,1.59328921003
136,1.85944877401,1.32971975949,0.51638356678,1.52104804895
140,1.60530158608,1.31042974052,1.42449015876,1.56553566725
144,0.397649020352,1.2032656761,1.00572352637,1.24803108966
148,0.370440096384,1.7420866828,0.553294195662,1.30254810377
152,0.728340785987,1.98887828897,1.11832669065,0.985970650211
156,0.135152815209,2.11623033274,1.52528377954,1.83099692957
160,0.797381577892,1.24822271977,1.65538400188,2.07016225734
164,1.52616062436,1.06173062504,2.16503180673,2.32766775489
168,1.18072675849,0.377005291311,1.12560204323,2.5256727711
172,2.14936009507,1.18314759309,0.912745354561,2.63109064991
176,1.24367699327,1.21131071037,1.47723009153,2.42866897387
180,1.46943296672,0.583607972316,1.71438298875,1.74409362367
184,1.91117096387,0.927450468352,2.39845789294,0.898431190988
188,1.25529461766,-0.0151489299863,2.76028110955,0.584455178923
192,1.97819624375,0.219283875445,2.55005054582,0.609993814606
196,2.07451095488,0.974272719851,1.3439627854,1.11594211046
200,1.41548690538,1.25267860378,1.32926157426,1.65550528589
204,0.656425332345,1.34269269012,1.46739859979,2.34845270038
208,0.384162245987,0.832593639966,1.40722629768,1.88921550525
212,-0.142012513918,1.06840667075,1.29002546472,1.41117370765
216,0.549836139656,0.462283465169,0.65972432694,0.715882133445
220,-0.158089380856,0.857890691371,0.937759734302,1.33537830251
224,0.967569099674,1.0089898295,1.31841941025,1.38237061253
228,1.02160896971,1.32987796777,0.318713937311,1.5292625142
232,1.19578437351,0.656540120333,0.794598421614,1.48531558772
236,1.78074119306,0.531246692793,0.448779040196,1.62597675106
240,1.76128823136,0.0840897143022,0.302056705909,1.40999806243
244,1.15302241728,0.0103975782139,0.0830310362877,0.558563494547
248,1.4849120184,-0.335166615806,-0.579568064083,0.115255345421
