step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number
1180,-5.44747398235,-5.12172935038,-5.05361339733,12.3125,12.25,12.5
1190,-5.45998810046,-5.11895051378,-4.99329038433,12.3125,12.25,12.4375
1200,-5.44882758121,-5.12921487262,-4.95240112539,12.3125,12.4375,12.375
1210,-5.42344517598,-5.15064627682,-5.03395757549,12.375,12.5,12.375
1220,-5.41227027067,-5.17004482895,-5.16773827524,12.3125,12.5,12.3125
1230,-5.41058631225,-5.17070403524,-5.24655099911,12.375,12.25,12.125
1240,-5.39575712549,-5.13543754693,-5.2378852595,12.375,12.375,12.0625
1250,-5.35973626109,-5.15168224075,-5.15179075502,12.1875,12.25,12.1875
1260,-5.326925565,-5.25773633604,-5.07380453766,12.25,12.3125,12.25
1270,-5.30687978047,-5.28319907593,-5.06471941091,12.3125,12.25,12.0625
1280,-5.29084893346,-5.2501627552,-5.05643936782,12.3125,12.1875,12.1875
1290,-5.27413529841,-5.23490604324,-5.03080559374,12.375,12.25,12.125
1300,-5.25067347281,-5.26792073908,-5.03985099813,12.375,12.125,12.1875
1310,-5.21209190059,-5.32282817293,-5.08941412707,12.5,12.25,12.375
1320,-5.19297874299,-5.33689774744,-5.14617045197,12.625,12.375,12.5
1330,-5.22696809816,-5.32186609192,-5.1792410653,12.5,12.375,12.4375
1340,-5.26080135857,-5.31479330513,-5.15192346322,12.375,12.25,12.375
1350,-5.27940813443,-5.32344147914,-5.1194496308,12.5,12.1875,12.375
1360,-5.27032952986,-5.27462868194,-5.18704551612,12.375,12.25,12.5
1370,-5.24723044851,-5.18632809369,-5.26327205254,12.5,12.1875,12.5625
1380,-5.25780050177,-5.24238325682,-5.25052424728,12.375,12.25,12.6875
1390,-5.26177139572,-5.28767104837,-5.18850165191,12.4375,12.375,12.6875
1400,-5.2264972936,-5.23342761122,-5.14563559514,12.3125,12.5,12.5625
1410,-5.18045198468,-5.17162995594,-5.1528709358,12.4375,12.4375,12.6875
1420,-5.13247861411,-5.13823155314,-5.1652830831,12.3125,12.5625,12.5
1430,-5.13961776125,-5.07654335323,-5.16776663853,12.25,12.4375,12.4375
1440,-5.24608436437,-5.02100328594,-5.17715008235,12.4375,12.4375,12.4375
1450,-5.37624701053,-5.02560822678,-5.15134575522,12.4375,12.4375,12.4375
1460,-5.43472481245,-5.05863124666,-5.12202427828,12.4375,12.5625,12.375
1470,-5.40415435083,-5.15599106138,-5.09907935359,12.3125,12.5,12.5
1480,-5.31277441863,-5.28267810768,-5.1563969753,12.375,12.4375,12.4375
1490,-5.22808116795,-5.36091570046,-5.20439472543,12.3125,12.5625,12.6875
1500,-5.2023456746,-5.38844836342,-5.22870602984,12.3125,12.5,12.8125
1510,-5.23994892758,-5.35151997377,-5.22742493008,12.25,12.5,12.6875
1520,-5.26553236356,-5.27064434174,-5.21367273358,12.375,12.4375,12.5
1530,-5.23430770273,-5.16666644019,-5.18318235745,12.3125,12.375,12.5
1540,-5.22221263107,-5.06583898941,-5.13964525763,12.375,12.375,12.5
1550,-5.28929734409,-5.05199365354,-5.1121556864,12.5,12.1875,12.625
1560,-5.34215021636,-5.10046477244,-5.10179007343,12.625,12,12.625
1570,-5.3424999932,-5.20836307414,-5.09650348261,12.5625,11.9375,12.625
1580,-5.33024207261,-5.31130878304,-5.08591123993,12.5625,12.1875,12.5625
1590,-5.2802875727,-5.33906342567,-5.08181294357,12.4375,12.25,12.5625
1600,-5.15917379234,-5.32456408751,-5.12634355508,12.375,12.25,12.375
1610,-5.05702808931,-5.28804563384,-5.20951601116,12.5,12.3125,12.375
1620,-5.07271937472,-5.24663247912,-5.29266138995,12.5625,12.4375,12.3125
1630,-5.19689872267,-5.22893640289,-5.30801975791,12.5,12.375,12.3125
1640,-5.27582136414,-5.23299787576,-5.23822868663,12.4375,12.375,12.3125
1650,-5.23661355646,-5.23149994727,-5.09751217043,12.3125,12.3125,12.3125
1660,-5.18103916033,-5.20794635762,-5.03689947042,12.375,12.375,12.3125
1670,-5.1880169206,-5.18645150532,-5.14797778062,12.25,12.3125,12.3125
1680,-5.26379178381,-5.11411812895,-5.2357865993,12.1875,12.375,12.375
1690,-5.31548171809,-5.00036785092,-5.27023381452,12.375,12.25,12.4375
1700,-5.3249954965,-4.91327858199,-5.32672950953,12.625,12.25,12.5625
1710,-5.31237598081,-4.81718260741,-5.29987657119,12.5625,12.375,12.4375
1720,-5.26294134423,-4.74829330921,-5.2541178175,12.6875,12.625,12.375
1730,-5.17564682998,-4.76667401641,-5.22275330831,12.5625,12.625,12.25
1740,-5.07418495522,-4.8189890411,-5.13621074893,12.625,12.5,12.25
1750,-5.02513530129,-4.91077082627,-5.05474878505,12.5625,12.625,12.375
1760,-5.02816549252,-5.00418378552,-5.06117636594,12.375,12.4375,12.6875
1770,-5.10487583474,-5.07998017592,-5.09506090707,12.5,12.3125,12.6875
1780,-5.20531218142,-5.12573915698,-5.1400152033,12.5625,12.4375,12.4375
1790,-5.2511528152,-5.13961253303,-5.16342029799,12.5,12.5,12.4375
1800,-5.22657804124,-5.06683064838,-5.21819990372,12.5625,12.375,12.5
