thermostat,replica_index,time,relative_energy_error
weak_argon_langevin,1,0.69,4.60171550745e-05
weak_argon_langevin,1,0.705,3.51835759826e-05
weak_argon_langevin,1,0.72,5.83554633697e-07
weak_argon_langevin,1,0.735,-3.51155438458e-05
weak_argon_langevin,1,0.75,-4.66723654629e-05
weak_argon_langevin,1,0.765,-4.4935432911e-05
weak_argon_langevin,1,0.78,-1.86657089962e-05
weak_argon_langevin,1,0.795,2.83771556582e-05
weak_argon_langevin,1,0.81,5.34796657382e-05
weak_argon_langevin,1,0.825,1.95957463797e-05
weak_argon_langevin,1,0.84,-5.82133435181e-06
weak_argon_langevin,1,0.855,-1.53606049989e-05
weak_argon_langevin,1,0.87,-2.89504473452e-05
weak_argon_langevin,1,0.885,-2.26787706411e-05
weak_argon_langevin,1,0.9,-1.57663803845e-05
strong_argon_langevin,0,0,0
strong_argon_langevin,0,0.015,9.43509342894e-05
strong_argon_langevin,0,0.03,0.000119284458209
strong_argon_langevin,0,0.045,7.74519235733e-05
strong_argon_langevin,0,0.06,3.40022092721e-05
strong_argon_langevin,0,0.075,3.88530455982e-05
strong_argon_langevin,0,0.09,5.8016311149e-05
strong_argon_langevin,0,0.105,0.000138409136009
strong_argon_langevin,0,0.12,0.00016673690177
strong_argon_langevin,0,0.135,7.32610648134e-05
strong_argon_langevin,0,0.15,5.67576654652e-05
strong_argon_langevin,0,0.165,0.00011410478498
strong_argon_langevin,0,0.18,0.000168807748737
strong_argon_langevin,0,0.195,0.000157259135768
strong_argon_langevin,0,0.21,0.00010333445724
strong_argon_langevin,0,0.225,0.000136387818603
strong_argon_langevin,0,0.24,0.000114447040892
strong_argon_langevin,0,0.255,0.000101098055767
strong_argon_langevin,0,0.27,0.000149921177506
strong_argon_langevin,0,0.285,0.000202553264665
strong_argon_langevin,0,0.3,0.000171560931135
strong_argon_langevin,0,0.315,0.000119488201784
strong_argon_langevin,0,0.33,0.000153190050434
strong_argon_langevin,0,0.345,0.000170555883135
strong_argon_langevin,0,0.36,0.000155379548486
strong_argon_langevin,0,0.375,0.000167675318049
strong_argon_langevin,0,0.39,0.000166931462648
strong_argon_langevin,0,0.405,0.000116105684748
strong_argon_langevin,0,0.42,0.000107035617952
strong_argon_langevin,0,0.435,0.000269330058232
strong_argon_langevin,0,0.45,0.000207739719272
strong_argon_langevin,0,0.465,0.000147408233738
strong_argon_langevin,0,0.48,0.000199960090205
strong_argon_langevin,0,0.495,0.000227339869197
strong_argon_langevin,0,0.51,0.000189232256933
strong_argon_langevin,0,0.525,8.12002757841e-05
strong_argon_langevin,0,0.54,0.000146939692108
strong_argon_langevin,0,0.555,0.000232306424003
strong_argon_langevin,0,0.57,0.000138448248054
strong_argon_langevin,0,0.585,0.000127689371344
strong_argon_langevin,0,0.6,0.000187765471513
strong_argon_langevin,0,0.615,0.00020818727133
strong_argon_langevin,0,0.63,0.000186839312977
strong_argon_langevin,0,0.645,0.000186218540073
strong_argon_langevin,0,0.66,0.000192859361791
strong_argon_langevin,0,0.675,0.000137148220108
strong_argon_langevin,0,0.69,0.000141696457905
strong_argon_langevin,0,0.705,0.000205427593319
strong_argon_langevin,0,0.72,0.000211524200193
strong_argon_langevin,0,0.735,0.000163297037263
strong_argon_langevin,0,0.75,0.000140898866689
strong_argon_langevin,0,0.765,0.000154918224919
strong_argon_langevin,0,0.78,0.000182426695592
strong_argon_langevin,0,0.795,0.000194937997008
strong_argon_langevin,0,0.81,0.00016266132701
strong_argon_langevin,0,0.825,0.000140414148725
strong_argon_langevin,0,0.84,0.000160096705812
strong_argon_langevin,0,0.855,0.000191117496727
strong_argon_langevin,0,0.87,0.000206991886248
strong_argon_langevin,0,0.885,0.000210424042622
strong_argon_langevin,0,0.9,0.000202663627336
strong_argon_langevin,1,0,0
strong_argon_langevin,1,0.015,-3.28096169895e-05
strong_argon_langevin,1,0.03,-5.31508011096e-05
strong_argon_langevin,1,0.045,-2.10372812502e-05
strong_argon_langevin,1,0.06,-2.13047758171e-05
strong_argon_langevin,1,0.075,-3.85972231628e-05
strong_argon_langevin,1,0.09,-6.14345553668e-05
strong_argon_langevin,1,0.105,-6.01371468795e-05
strong_argon_langevin,1,0.12,-4.6524108356e-05
strong_argon_langevin,1,0.135,-4.41426734869e-05
strong_argon_langevin,1,0.15,-3.86007924576e-05
