thermostat,time,kinetic_temperature
weak_argon_langevin,2.58,0.641731347541
weak_argon_langevin,2.595,0.645969697183
weak_argon_langevin,2.61,0.660958924874
weak_argon_langevin,2.625,0.673185489332
weak_argon_langevin,2.64,0.687828128212
weak_argon_langevin,2.655,0.687096869719
weak_argon_langevin,2.67,0.657447326488
weak_argon_langevin,2.685,0.609996137854
weak_argon_langevin,2.7,0.63982479415
weak_argon_langevin,2.715,0.707705521383
weak_argon_langevin,2.73,0.75462761029
weak_argon_langevin,2.745,0.767472208023
weak_argon_langevin,2.76,0.753504503829
weak_argon_langevin,2.775,0.756708536349
weak_argon_langevin,2.79,0.728793080699
weak_argon_langevin,2.805,0.70057356593
weak_argon_langevin,2.82,0.673793500417
weak_argon_langevin,2.835,0.639139909398
weak_argon_langevin,2.85,0.610776316001
weak_argon_langevin,2.865,0.594354087474
weak_argon_langevin,2.88,0.593723857198
weak_argon_langevin,2.895,0.596935416842
weak_argon_langevin,2.91,0.647914224431
weak_argon_langevin,2.925,0.68723972739
weak_argon_langevin,2.94,0.717742152226
weak_argon_langevin,2.955,0.732708862632
weak_argon_langevin,2.97,0.723072377229
weak_argon_langevin,2.985,0.692596683089
weak_argon_langevin,3,0.642375457117
weak_argon_langevin,3.015,0.611891005899
weak_argon_langevin,3.03,0.652643633804
weak_argon_langevin,3.045,0.688047689675
weak_argon_langevin,3.06,0.680863479317
weak_argon_langevin,3.075,0.672237323431
weak_argon_langevin,3.09,0.656886573439
weak_argon_langevin,3.105,0.635731996182
weak_argon_langevin,3.12,0.615433745097
weak_argon_langevin,3.135,0.645769258403
weak_argon_langevin,3.15,0.694322005809
weak_argon_langevin,3.165,0.724514907918
weak_argon_langevin,3.18,0.76193934768
weak_argon_langevin,3.195,0.748466431161
weak_argon_langevin,3.21,0.710379163238
weak_argon_langevin,3.225,0.670591445231
weak_argon_langevin,3.24,0.647649186115
weak_argon_langevin,3.255,0.650426163625
weak_argon_langevin,3.27,0.650992015038
weak_argon_langevin,3.285,0.647310484675
weak_argon_langevin,3.3,0.626676625578
weak_argon_langevin,3.315,0.615043319935
weak_argon_langevin,3.33,0.593227489873
weak_argon_langevin,3.345,0.60455102382
weak_argon_langevin,3.36,0.626644273137
weak_argon_langevin,3.375,0.660486837873
weak_argon_langevin,3.39,0.690788299598
weak_argon_langevin,3.405,0.70672660439
weak_argon_langevin,3.42,0.688378128273
weak_argon_langevin,3.435,0.67632174238
weak_argon_langevin,3.45,0.667176442955
weak_argon_langevin,3.465,0.675618315433
weak_argon_langevin,3.48,0.687040343607
weak_argon_langevin,3.495,0.694583435517
weak_argon_langevin,3.51,0.672272546516
weak_argon_langevin,3.525,0.643560248575
weak_argon_langevin,3.54,0.583320646604
weak_argon_langevin,3.555,0.532739334901
weak_argon_langevin,3.57,0.523727276698
weak_argon_langevin,3.585,0.578665094226
strong_argon_langevin,0.6,0.651359262008
strong_argon_langevin,0.615,0.592140045932
strong_argon_langevin,0.63,0.573205769164
strong_argon_langevin,0.645,0.543011297479
strong_argon_langevin,0.66,0.564638881277
strong_argon_langevin,0.675,0.589933398772
strong_argon_langevin,0.69,0.606813933098
strong_argon_langevin,0.705,0.631189787879
strong_argon_langevin,0.72,0.667898730488
strong_argon_langevin,0.735,0.694681457164
strong_argon_langevin,0.75,0.669308043989
strong_argon_langevin,0.765,0.630995214211
strong_argon_langevin,0.78,0.659946625011
strong_argon_langevin,0.795,0.682318030533
strong_argon_langevin,0.81,0.638613846685
strong_argon_langevin,0.825,0.62054543065
strong_argon_langevin,0.84,0.697569210423
strong_argon_langevin,0.855,0.732179915809
strong_argon_langevin,0.87,0.743278910323
strong_argon_langevin,0.885,0.792733442453
strong_argon_langevin,0.9,0.816550123122
strong_argon_langevin,0.915,0.717115484045
strong_argon_langevin,0.93,0.644514504452
strong_argon_langevin,0.945,0.648044881346
strong_argon_langevin,0.96,0.632508740804
strong_argon_langevin,0.975,0.607054970024
strong_argon_langevin,0.99,0.635480957073
strong_argon_langevin,1.005,0.663734743169
strong_argon_langevin,1.02,0.644123103906
strong_argon_langevin,1.035,0.579595112517
strong_argon_langevin,1.05,0.678587467099
strong_argon_langevin,1.065,0.589825113844
strong_argon_langevin,1.08,0.57509668849
strong_argon_langevin,1.095,0.611484565417
strong_argon_langevin,1.11,0.597972845785
strong_argon_langevin,1.125,0.600351151298
strong_argon_langevin,1.14,0.641784227435
strong_argon_langevin,1.155,0.695711344424
strong_argon_langevin,1.17,0.78121204843
strong_argon_langevin,1.185,0.893295041685
strong_argon_langevin,1.2,0.974766944308
strong_argon_langevin,1.215,0.990567965113
strong_argon_langevin,1.23,0.976685557677
strong_argon_langevin,1.245,0.877149457331
strong_argon_langevin,1.26,0.81911598244
strong_argon_langevin,1.275,0.799510538658
strong_argon_langevin,1.29,0.792170881715
strong_argon_langevin,1.305,0.859522922741
strong_argon_langevin,1.32,0.852279465838
strong_argon_langevin,1.335,0.830057606575
strong_argon_langevin,1.35,0.882073728518
strong_argon_langevin,1.365,0.883862753023
strong_argon_langevin,1.38,0.91844865861
strong_argon_langevin,1.395,0.776392824392
strong_argon_langevin,1.41,0.712118853227
strong_argon_langevin,1.425,0.748172663925
strong_argon_langevin,1.44,0.66912993479
strong_argon_langevin,1.455,0.588750307219
strong_argon_langevin,1.47,0.586821151071
strong_argon_langevin,1.485,0.626581522297
strong_argon_langevin,1.5,0.688954346518
strong_argon_langevin,1.515,0.637788436952
strong_argon_langevin,1.53,0.621404197692
strong_argon_langevin,1.545,0.611184449246
strong_argon_langevin,1.56,0.557760856699
strong_argon_langevin,1.575,0.551047590322
strong_argon_langevin,1.59,0.521168975001
strong_argon_langevin,1.605,0.514389123058
strong_argon_langevin,1.62,0.612829969642
strong_argon_langevin,1.635,0.69256774702
strong_argon_langevin,1.65,0.750185209252
strong_argon_langevin,1.665,0.75525511084
strong_argon_langevin,1.68,0.777935967616
strong_argon_langevin,1.695,0.694536594422
strong_argon_langevin,1.71,0.725613099939
strong_argon_langevin,1.725,0.664786704256
strong_argon_langevin,1.74,0.649157824299
strong_argon_langevin,1.755,0.722959975447
strong_argon_langevin,1.77,0.703540960498
strong_argon_langevin,1.785,0.623609892525
