time,weak_langevin_position,weak_langevin_velocity,strong_langevin_position,strong_langevin_velocity
10,0.729055589684,0.305915525816,1.66255098309,2.68705748975
10.16,0.77330485673,0.394960300745,1.9155669002,0.0412810374226
10.32,0.807406930656,0.219544417664,1.80128178989,-1.00827136638
10.48,0.825906065827,0.00641101054833,1.55819305541,-1.11441522315
10.64,0.811003253921,-0.299202363576,1.51834264451,0.691328483997
10.8,0.769453620068,-0.38138127488,1.61633660894,1.09020104309
10.96,0.693708461544,-0.517664977155,1.75035951511,0.291701115113
11.12,0.589069544636,-0.78460011448,1.76794699309,0.117698195166
11.28,0.478407141558,-0.60024723609,1.61640532601,-0.951345024013
11.44,0.371045179162,-0.845865767883,1.46736723511,-1.18933987013
11.6,0.239414520623,-0.95573278062,1.18546850817,-0.51966585466
11.76,0.0834013732588,-0.978230913552,1.33875383602,1.68683768323
11.92,-0.0693190831681,-0.883655448778,1.58442799646,1.48992970841
12.08,-0.217103161334,-0.928355498094,1.68685948824,0.0810760735096
12.24,-0.372378259407,-0.84105496432,1.74435435589,-0.19255675735
12.4,-0.502623706141,-0.768954513245,1.59818406837,-0.964225952916
12.56,-0.617598592815,-0.693739766493,1.54179797717,-0.73587758363
12.72,-0.740277938675,-0.703083927269,1.4510111613,-0.739727578653
12.88,-0.847482880087,-0.527658615546,1.42867010941,-0.43602270608
13.04,-0.917560470254,-0.490111568764,1.41892704432,-0.208374863604
13.2,-0.978911387531,-0.286940417862,1.35169207651,0.0111684104809
13.36,-1.01442080399,-0.21464266909,1.21279385413,-1.35365607313
13.52,-1.0554202964,-0.218216268797,1.14034529006,-0.180246482112
13.68,-1.09095734742,-0.0886733599502,0.929692359153,-0.607505284691
13.84,-1.10092756594,-0.0792864676645,0.843578980701,-0.982058408911
14,-1.12575041951,-0.173046292773,0.806809191664,-0.786677052441
14.16,-1.14084361932,0.0550455518575,0.754749106602,-0.811674710117
14.32,-1.12774122673,0.0535792842802,0.621114428084,-1.88158608166
14.48,-1.09607715184,0.216951737468,0.503997876108,0.455206019237
14.64,-1.01692930951,0.601137415378,0.443062444224,-0.470826056018
14.8,-0.925829360697,0.703112669365,0.451794035652,-0.192582528656
14.96,-0.825087524974,0.618342894886,0.450075044609,-0.423710293455
15.12,-0.76297032683,0.43468731695,0.408613506471,-0.268949580891
15.28,-0.674873532791,0.630518515335,0.478738879054,0.44923969
15.44,-0.545194047185,0.803621515409,0.475508270098,-0.242239258703
15.6,-0.405828761691,1.00060211316,0.555228795369,-0.230637570012
15.76,-0.255878543708,0.77881417533,0.49662708384,-0.792303422063
15.92,-0.144312674366,0.531925036868,0.415104124442,-0.442512710705
16.08,-0.0516504677321,0.47077215052,0.366096519316,-0.529560736816
16.24,-0.0205044424726,0.144954282555,0.285023820395,-0.575276643057
16.4,0.0138466169952,0.385959409722,-0.00791819672616,-1.24245629274
16.56,0.091029475409,0.425794463751,-0.0240558886182,-0.604343998585
16.72,0.172376497002,0.499034306607,-0.287448207985,-1.73354158131
16.88,0.231687943778,0.19127090906,-0.392672055143,-0.298029846395
17.04,0.272609990914,0.0913798194377,-0.463942325929,-0.170914532874
17.2,0.301701092144,0.304460236255,-0.462528145791,0.438599284924
17.36,0.321516747487,0.165047469975,-0.256594090526,0.520972479301
17.52,0.337223665477,-0.0935061284632,-0.278798551935,0.488381954434
17.68,0.339162280064,0.0105902092932,-0.278890691334,0.0953745082714
17.84,0.344244722488,-0.00807160422325,-0.27595064976,0.525336804672
18,0.352139086272,-0.0174874257371,-0.24902966609,-0.306675729497
18.16,0.344565669075,-0.189877053507,-0.310184937603,-0.370104271527
18.32,0.302888205843,-0.334372226851,-0.337016222571,-0.00142300051311
18.48,0.250897422527,-0.323285780559,-0.209023186311,0.670052871337
18.64,0.235144880662,0.0120748526473,-0.111328954726,0.737352731267
18.8,0.223531973939,-0.142892376683,-0.0291600533317,0.324511221333
18.96,0.21861420564,0.0689285517306,-0.00426259387636,0.207268274914
19.12,0.219220953039,0.0809152990011,-0.0548407194465,-0.570833941494
19.28,0.22793511669,-0.0193390278398,-0.0515361928454,0.812161584689
19.44,0.20358895024,-0.35801548461,0.0469835451755,0.247656431987
19.6,0.117851759848,-0.399748937134,0.0852636356682,0.846287940931
19.76,0.0254652789579,-0.687813945119,0.224764632921,0.858782972224
19.92,-0.0940112607163,-0.765965183069,0.238693059174,0.0689402536632
20.08,-0.229582619603,-0.888355039944,0.326145161571,0.584420100022
20.24,-0.366175187292,-0.703577564739,0.449955192597,1.09403950171
20.4,-0.492500519218,-0.891687255153,0.585662653381,0.875662526899
20.56,-0.619092198764,-0.823138205223,0.651802734524,-0.469131734454
20.72,-0.724540631357,-0.651873011438,0.503715555687,-0.816721176354
20.88,-0.813787645909,-0.546978537239,0.388163010017,0.324778411181
21.04,-0.870992440737,-0.247833406158,0.454489412002,1.02029986355
21.2,-0.894088816098,-0.0709508349224,0.669486825124,1.53131965697
21.36,-0.90007294462,-0.17659789777,0.773700730058,0.52127048145
21.52,-0.91644994212,-0.191497683683,0.728390747116,-1.39875793803
21.68,-0.945500801451,0.00833808247271,0.60231239218,0.900208273432
21.84,-0.947598123892,0.0474320596206,0.436445171995,-1.83086893379
22,-0.924823131008,0.0791859670026,0.129139190539,-2.17131463451
22.16,-0.867358130872,0.579934277079,-0.111940261023,-0.899892472915
22.32,-0.791164733959,0.270922261283,-0.213667015567,-0.131905649376
22.48,-0.763180925664,0.0598880859186,-0.211186848701,-0.984725548031
