true_pmf_x,true_pmf_y,histogram_pmf_x,histogram_pmf_y,reweighted_pmf_x,reweighted_pmf_y,rdf_x,rdf_y,rdf_pmf_x,rdf_pmf_y,argon_rdf_x,argon_rdf_y,argon_rdf_pmf_x,argon_rdf_pmf_y,argon_rdf_pmf_block_sem_x,argon_rdf_pmf_block_sem_y,argon_rdf_pmf_replica_std_x,argon_rdf_pmf_replica_std_y
-1.60625,2.49652343903,,,,,2.11548117155,1.86558809929,2.11548117155,1.08182475927,,,,,,,,
-1.6,2.4336,,,,,2.12677824268,1.88787884291,2.12677824268,1.06994720391,,,,,,,,
-1.59375,2.37172031403,,,,,2.13807531381,1.90980606269,2.13807531381,1.05839939835,,,,,,,,
-1.5875,2.31087502441,,,,,2.14937238494,1.93131506231,2.14937238494,1.04719994708,,,,,,,,
-1.58125,2.2510548111,,,,,2.16066945607,1.95235113514,2.16066945607,1.03636674077,,,,,,,,
-1.575,2.19225039062,,,,,2.1719665272,1.97285979063,2.1719665272,1.02591693693,,,,,,,,
-1.56875,2.13445251617,,,,,2.18326359833,1.9927869851,2.18326359833,1.01586694341,,,,,,,,
-1.5625,2.07765197754,,,,,2.19456066946,2.0120793556,2.19456066946,1.00623240478,,,,,,,,
-1.55625,2.02183960114,,,,,2.20585774059,2.03068445535,2.20585774059,0.997028191044,,,,,,,,
-1.55,1.96700625,,,,,2.21715481172,2.04855098928,2.21715481172,0.988268388665,,,,,,,,
-1.54375,1.91314282379,,,,,2.22845188285,2.06562904804,2.22845188285,0.97996629362,,,,,,,,
-1.5375,1.86024025879,,,,,2.23974895397,2.08187033916,2.23974895397,0.972134406202,,,,,,,,
-1.53125,1.80828952789,,,,,2.2510460251,2.09722841368,2.2510460251,0.96478442738,,,,,,,,
-1.525,1.75728164062,,,,,2.26234309623,2.1116588869,2.26234309623,0.957927256478,,,,,,,,
-1.51875,1.70720764313,,,,,2.27364016736,2.1251196516,2.27364016736,0.951572989968,,,,,,,,
-1.5125,1.65805861816,,,,,2.28493723849,2.13757108246,2.28493723849,0.945730921165,,,,,,,,
-1.50625,1.60982568512,,,,,2.29623430962,2.14897623022,2.29623430962,0.940409540648,,,,,,,,
-1.5,1.5625,,,,,2.30753138075,2.15930100422,2.30753138075,0.935616537228,,,,,,,,
-1.49375,1.51607275543,,,,,2.31882845188,2.16851434206,2.31882845188,0.931358799304,,,,,,,,
-1.4875,1.47053518066,,,,,2.33012552301,2.17658836531,2.33012552301,0.927642416477,,,,,,,,
-1.48125,1.42587854156,,,,,2.34142259414,2.18349851998,2.34142259414,0.924472681269,,,,,,,,
-1.475,1.38209414062,,,,,2.35271966527,2.18922370095,2.35271966527,0.921854090859,,,,,,,,
-1.46875,1.33917331696,,,,,2.3640167364,2.19374635932,2.3640167364,0.919790348731,,,,,,,,
-1.4625,1.29710744629,,,,,2.37531380753,2.19705259208,2.37531380753,0.918284366141,,,,,,,,
-1.45625,1.25588794098,,,,,2.38661087866,2.19913221329,2.38661087866,0.91733826335,,,,,,,,
-1.45,1.21550625,,,,,2.39790794979,2.19997880633,2.39790794979,0.916953370563,,,,,,,,
-1.44375,1.17595385895,,,,,2.40920502092,2.19958975695,2.40920502092,0.917130228532,,,,,,,,
-1.4375,1.13722229004,,,,,2.42050209205,2.19796626668,2.42050209205,0.91786858881,,,,,,,,
-1.43125,1.09930310211,,,,,2.43179916318,2.19511334664,2.43179916318,0.919167413636,,,,,,,,
-1.425,1.06218789063,,,,,2.44309623431,2.19103979182,2.44309623431,0.921024875455,,,,,,,,
-1.41875,1.02586828766,,,,,2.45439330544,2.18575813584,2.45439330544,0.923438356102,,,,,,,,
-1.4125,0.990335961914,,,,,2.46569037657,2.17928458674,2.46569037657,0.926404445673,,,,,,,,
-1.40625,0.955582618713,,,,,2.4769874477,2.1716389441,2.4769874477,0.929918941135,,,,,,,,
-1.4,0.9216,,,,,2.48828451883,2.16284449817,2.48828451883,0.933976844742,,,,,,,,
-1.39375,0.888379884338,,,,,2.49958158996,2.15292791164,2.49958158996,0.938572362319,,,,,,,,
-1.3875,0.855914086914,,,,,2.51087866109,2.141919085,2.51087866109,0.943698901523,,,,,,,,
-1.38125,0.824194459534,,,,,2.52217573222,2.12985100636,2.52217573222,0.949349070182,,,,,,,,
-1.375,0.793212890625,,,,,2.53347280335,2.11675958682,2.53347280335,0.955514674833,,,,,,,,
-1.36875,0.762961305237,,,,,2.54476987448,2.10268348254,2.54476987448,0.962186719589,,,,,,,,
-1.3625,0.733431665039,,,,,2.55606694561,2.08766390469,2.55606694561,0.969355405517,,,,,,,,
-1.35625,0.704615968323,,,,,2.56736401674,2.0717444187,2.56736401674,0.977010130651,,,,,,,,
-1.35,0.67650625,,,,,2.57866108787,2.05497073407,2.57866108787,0.985139490873,,,,,,,,
-1.34375,0.649094581604,,,,,2.589958159,2.03739048618,2.589958159,0.993731281817,,,,,,,,
-1.3375,0.622373071289,,,,,2.60125523013,2.01905301159,2.60125523013,1.00277250205,,,,,,,,
-1.33125,0.596333863831,,,,,2.61255230126,2.0000091183,2.61255230126,1.01224935769,,,,,,,,
-1.325,0.570969140625,,,,,2.62384937238,1.9803108524,2.62384937238,1.02214726885,,,,,,,,
-1.31875,0.54627111969,,,,,2.63514644351,1.96001126272,2.63514644351,1.03245087788,,,,,,,,
-1.3125,0.522232055664,,,,,2.64644351464,1.93916416481,2.64644351464,1.04314406004,,,,,,,,
-1.30625,0.498844239807,,,,,2.65774058577,1.91782390583,2.65774058577,1.0542099365,,,,,,,,
-1.3,0.4761,,,,,2.6690376569,1.89604513172,2.6690376569,1.06563089019,,,,,,,,
-1.29375,0.453991700745,,,,,2.68033472803,1.87388255796,2.68033472803,1.07738858472,,,,,,,,
-1.2875,0.432511743164,,,,,2.69163179916,1.85139074541,2.69163179916,1.08946398645,,,,,,,,
-1.28125,0.411652565002,,,,,2.70292887029,1.82862388224,2.70292887029,1.10183739034,,,,,,,,
-1.275,0.391406640625,,,,,2.71422594142,1.80563557334,2.71422594142,1.11448844939,,,,,,,,
-1.26875,0.371766481018,,,,,2.72552301255,1.7824786382,2.72552301255,1.12739620834,,,,,,,,
-1.2625,0.352724633789,,,,,2.73682008368,1.75920491826,2.73682008368,1.1405391414,,,,,,,,
-1.25625,0.334273683167,,,,,2.74811715481,1.73586509463,2.74811715481,1.15389519464,,,,,,,,
-1.25,0.31640625,,,,,2.75941422594,1.71250851712,2.75941422594,1.16744183275,,,,,,,,
-1.24375,0.29911499176,,,,,2.77071129707,1.6891830451,2.77071129707,1.1811560906,,,,,,,,
-1.2375,0.282392602539,,,,,2.7820083682,1.66593490087,2.7820083682,1.19501462952,,,,,,,,
-1.23125,0.266231813049,,,,,2.79330543933,1.64280853614,2.79330543933,1.20899379822,,,,,,,,
-1.225,0.250625390625,,,,,2.80460251046,1.61984651175,2.80460251046,1.22306969847,,,,,,,,
-1.21875,0.235566139221,,,,,2.81589958159,1.59708939123,2.81589958159,1.23721825526,,,,,,,,
-1.2125,0.221046899414,,,,,2.82719665272,1.57457564809,2.82719665272,1.2514152912,,,,,,,,
-1.20625,0.207060548401,,,,,2.83849372385,1.55234158707,2.83849372385,1.26563660509,,,,,,,,
-1.2,0.1936,,,,,2.84979079498,1.53042127924,2.84979079498,1.27985805398,,,,,,,,
-1.19375,0.180658204651,,,,,2.86108786611,1.50884651091,2.86108786611,1.29405563854,,,,,,,,
-1.1875,0.168228149414,,,,,2.87238493724,1.48764674599,2.87238493724,1.30820559106,,,,,,,,
-1.18125,0.156302857971,,,,,2.88368200837,1.4668491016,2.88368200837,1.32228446542,,,,,,,,
-1.175,0.144875390625,,,,,2.8949790795,1.44647833654,2.8949790795,1.33626922854,,,,,,,,
-1.16875,0.133938844299,,,,,2.90627615063,1.4265568521,2.90627615063,1.35013735226,,,,,,,,
-1.1625,0.123486352539,,,,,2.91757322176,1.40710470465,2.91757322176,1.36386690508,,,,,,,,
-1.15625,0.11351108551,,,,,2.92887029289,1.38813962956,2.92887029289,1.3774366427,,,,,,,,
-1.15,0.10400625,,,,,2.94016736402,1.36967707566,2.94016736402,1.39082609654,,,,,,,,
-1.14375,0.0949650894165,,,,,2.95146443515,1.35173024961,2.95146443515,1.40401565919,,,,,,,,
-1.1375,0.0863808837891,,,,,2.96276150628,1.33431016947,2.96276150628,1.41698666608,,,,,,,,
-1.13125,0.0782469497681,,,,,2.97405857741,1.31742572662,2.97405857741,1.42972147203,,,,,,,,
-1.125,0.070556640625,,,,,2.98535564854,1.30108375541,2.98535564854,1.44220352222,,,,,,,,
-1.11875,0.0633033462524,,,,,2.99665271967,1.28528910956,2.99665271967,1.45441741637,,,,,,,,
-1.1125,0.0564804931641,,,,,3.00794979079,1.27004474466,3.00794979079,1.46634896553,,,,,,,,
-1.10625,0.0500815444946,,,,,3.01924686192,1.25535180584,3.01924686192,1.47798524071,,,,,,,,
-1.1,0.0441,,,,,3.03054393305,1.24120971992,3.03054393305,1.48931461277,,,,,,,,
-1.09375,0.0385293960571,,,,,3.04184100418,1.22761629112,3.04184100418,1.50032678301,,,,,,,,
-1.0875,0.0333633056641,,,,,3.05313807531,1.21456779974,3.05313807531,1.51101280426,,,,,,,,
-1.08125,0.0285953384399,,,,,3.06443514644,1.20205910285,3.06443514644,1.52136509206,,,,,,,,
-1.075,0.024219140625,,,,,3.07573221757,1.19008373641,3.07573221757,1.53137742601,,,,,,,,
-1.06875,0.0202283950806,,,,,3.0870292887,1.17863401813,3.0870292887,1.54104494122,,,,,,,,
-1.0625,0.0166168212891,,,,,3.09832635983,1.16770115027,3.09832635983,1.55036411022,,,,,,,,
-1.05625,0.013378175354,,,,,3.10962343096,1.15727532198,3.10962343096,1.55933271554,,,,,,,,
-1.05,0.01050625,,,,,3.12092050209,1.14734581039,3.12092050209,1.5679498135,,,,,,,,
-1.04375,0.00799487457275,,,,,3.13221757322,1.13790108006,3.13221757322,1.57621568984,,,,,,,,
-1.0375,0.00583791503906,,,,,3.14351464435,1.12892888026,3.14351464435,1.58413180778,,,,,,,,
-1.03125,0.00402927398682,,,,,3.15481171548,1.12041633956,3.15481171548,1.59170074941,,,,,,,,
-1.025,0.002562890625,,,,,3.16610878661,1.11235005748,3.16610878661,1.59892615121,,,,,,,,
-1.01875,0.00143274078369,,,,,3.17740585774,1.10471619275,3.17740585774,1.60581263455,,,,,,,,
-1.0125,0.000632836914062,,,,,3.18870292887,1.09750054785,3.18870292887,1.61236573225,,,,,,,,
-1.00625,0.000157228088379,,,,,3.2,1.09068864966,3.2,1.61859181197,,,,,,,,
-1,0,,,,,,,,,,,,,,,,
-0.99375,0.000155274963379,,,,,,,,,,,,,,,,
-0.9875,0.000617211914063,,,,,,,,,,,,,,,,
-0.98125,0.00138000640869,,,,,,,,,,,,,,,,
-0.975,0.002437890625,,,,,,,,,,,,,,,,
-0.96875,0.00378513336182,,,,,,,,,,,,,,,,
-0.9625,0.00541604003906,,,,,,,,,,,,,,,,
-0.95625,0.00732495269775,,,,,,,,,,,,,,,,
-0.95,0.00950625,,,,,,,,,,,,,,,,
-0.94375,0.011954347229,,,,,,,,,,,,,,,,
-0.9375,0.0146636962891,,,,,,,,,,,,,,,,
-0.93125,0.0176287857056,,,,,,,,,,,,,,,,
-0.925,0.020844140625,,,,,,,,,,,,,,,,
-0.91875,0.0243043228149,,,,,,,,,,,,,,,,
-0.9125,0.0280039306641,,,,,,,,,,,,,,,,
-0.90625,0.0319375991821,,,,,,,,,,,,,,,,
-0.9,0.0361,,,,,,,,,,,,,,,,
-0.89375,0.0404858413696,,,,,,,,,,,,,,,,
-0.8875,0.0450898681641,,,,,,,,,,,,,,,,
-0.88125,0.0499068618774,,,,,,,,,,,,,,,,
-0.875,0.054931640625,,,,,,,,,,,,,,,,
-0.86875,0.0601590591431,,,,,,,,,,,,,,,,
-0.8625,0.0655840087891,,,,,,,,,,,,,,,,
-0.85625,0.0712014175415,,,,,,,,,,,,,,,,
-0.85,0.07700625,,,,,,,,,,,,,,,,
-0.84375,0.0829935073853,,,,,,,,,,,,,,,,
-0.8375,0.0891582275391,,,,,,,,,,,,,,,,
-0.83125,0.0954954849243,,,,,,,,,,,,,,,,
-0.825,0.102000390625,,,,,,,,,,,,,,,,
-0.81875,0.108668092346,,,,,,,,,,,,,,,,
-0.8125,0.115493774414,,,,,,,,,,,,,,,,
-0.80625,0.122472657776,,,,,,,,,,,,,,,,
-0.8,0.1296,,,,,,,,,,,,,,,,
-0.79375,0.136871095276,,,,,,,,,,,,,,,,
-0.7875,0.144281274414,,,,,,,,,,,,,,,,
-0.78125,0.151825904846,,,,,,,,,,,,,,,,
-0.775,0.159500390625,,,,,,,,,,,,,,,,
-0.76875,0.167300172424,,,,,,,,,,,,,,,,
-0.7625,0.175220727539,,,,,,,,,,,,,,,,
-0.75625,0.183257569885,,,,,,,,,,,,,,,,
-0.75,0.19140625,,,,,,,,,,,,,,,,
-0.74375,0.199662355042,,,,,,,,,,,,,,,,
-0.7375,0.208021508789,,,,,,,,,,,,,,,,
-0.73125,0.216479371643,,,,,,,,,,,,,,,,
-0.725,0.225031640625,,,,,,,,,,,,,,,,
-0.71875,0.233674049377,,,,,,,,,,,,,,,,
-0.7125,0.242402368164,,,,,,,,,,,,,,,,
-0.70625,0.25121240387,,,,,,,,,,,,,,,,
-0.7,0.2601,,,,,,,,,,,,,,,,
-0.69375,0.269061036682,,,,,,,,,,,,,,,,
-0.6875,0.278091430664,,,,,,,,,,,,,,,,
-0.68125,0.287187135315,,,,,,,,,,,,,,,,
-0.675,0.296344140625,,,,,,,,,,,,,,,,
-0.66875,0.305558473206,,,,,,,,,,,,,,,,
-0.6625,0.314826196289,,,,,,,,,,,,,,,,
-0.65625,0.324143409729,,,,,,,,,,,,,,,,
-0.65,0.33350625,,,,,,,,,,,,,,,,
-0.64375,0.342910890198,,,,,,,,,,,,,,,,
-0.6375,0.352353540039,,,,,,,,,,,,,,,,
-0.63125,0.361830445862,,,,,,,,,,,,,,,,
-0.625,0.371337890625,,,,,,,,,,,,,,,,
-0.61875,0.380872193909,,,,,,,,,,,,,,,,
-0.6125,0.390429711914,,,,,,,,,,,,,,,,
-0.60625,0.400006837463,,,,,,,,,,,,,,,,
-0.6,0.4096,,,,,,,,,,,,,,,,
-0.59375,0.419205665588,,,,,,,,,,,,,,,,
-0.5875,0.428820336914,,,,,,,,,,,,,,,,
-0.58125,0.438440553284,,,,,,,,,,,,,,,,
-0.575,0.448062890625,,,,,,,,,,,,,,,,
-0.56875,0.457683961487,,,,,,,,,,,,,,,,
-0.5625,0.467300415039,,,,,,,,,,,,,,,,
-0.55625,0.476908937073,,,,,,,,,,,,,,,,
-0.55,0.48650625,,,,,,,,,,,,,,,,
-0.54375,0.496089112854,,,,,,,,,,,,,,,,
-0.5375,0.505654321289,,,,,,,,,,,,,,,,
-0.53125,0.515198707581,,,,,,,,,,,,,,,,
-0.525,0.524719140625,,,,,,,,,,,,,,,,
-0.51875,0.53421252594,,,,,,,,,,,,,,,,
-0.5125,0.543675805664,,,,,,,,,,,,,,,,
-0.50625,0.553105958557,,,,,,,,,,,,,,,,
-0.5,0.5625,,,,,,,,,,,,,,,,
-0.49375,0.571854981995,,,,,,,,,,,,,,,,
-0.4875,0.581167993164,,,,,,,,,,,,,,,,
-0.48125,0.590436158752,,,,,,,,,,,,,,,,
-0.475,0.599656640625,,,,,,,,,,,,,,,,
-0.46875,0.608826637268,,,,,,,,,,,,,,,,
-0.4625,0.617943383789,,,,,,,,,,,,,,,,
-0.45625,0.627004151917,,,,,,,,,,,,,,,,
-0.45,0.63600625,,,,,,,,,,,,,,,,
-0.44375,0.64494702301,,,,,,,,,,,,,,,,
-0.4375,0.653823852539,,,,,,,,,,,,,,,,
-0.43125,0.662634156799,,,,,,,,,,,,,,,,
-0.425,0.671375390625,,,,,,,,,,,,,,,,
-0.41875,0.680045045471,,,,,,,,,,,,,,,,
-0.4125,0.688640649414,,,,,,,,,,,,,,,,
-0.40625,0.697159767151,,,,,,,,,,,,,,,,
-0.4,0.7056,,,,,,,,,,,,,,,,
-0.39375,0.713958985901,,,,,,,,,,,,,,,,
-0.3875,0.722234399414,,,,,,,,,,,,,,,,
-0.38125,0.730423951721,,,,,,,,,,,,,,,,
-0.375,0.738525390625,,,,,,,,,,,,,,,,
-0.36875,0.746536500549,,,,,,,,,,,,,,,,
-0.3625,0.754455102539,,,,,,,,,,,,,,,,
-0.35625,0.76227905426,,,,,,,,,,,,,,,,
-0.35,0.77000625,,,,,,,,,,,,,,,,
-0.34375,0.777634620667,,,,,,,,,,,,,,,,
-0.3375,0.785162133789,,,,,,,,,,,,,,,,
-0.33125,0.792586793518,,,,,,,,,,,,,,,,
-0.325,0.799906640625,,,,,,,,,,,,,,,,
-0.31875,0.807119752502,,,,,,,,,,,,,,,,
-0.3125,0.814224243164,,,,,,,,,,,,,,,,
-0.30625,0.821218263245,,,,,,,,,,,,,,,,
-0.3,0.8281,,,,,,,,,,,,,,,,
-0.29375,0.834867677307,,,,,,,,,,,,,,,,
-0.2875,0.841519555664,,,,,,,,,,,,,,,,
-0.28125,0.84805393219,,,,,,,,,,,,,,,,
-0.275,0.854469140625,,,,,,,,,,,,,,,,
-0.26875,0.860763551331,,,,,,,,,,,,,,,,
-0.2625,0.866935571289,,,,,,,,,,,,,,,,
-0.25625,0.872983644104,,,,,,,,,,,,,,,,
-0.25,0.87890625,,,,,,,,,,,,,,,,
-0.24375,0.884701905823,,,,,,,,,,,,,,,,
-0.2375,0.890369165039,,,,,,,,,,,,,,,,
