true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference,pair_distance_umbrella_x,pair_distance_umbrella_pmf,pair_distance_umbrella_replica_pmf,pair_distance_umbrella_replica_abs_difference,pair_distance_umbrella_true_pmf
-2.46,25.5170944,-2.46,nan,nan,nan,-2.46,nan,nan,nan,0.94,3.30057407333,3.31620855176,0.0156344784283,3.59868243018
-2.38,21.7550592,-2.38,nan,nan,nan,-2.38,nan,nan,nan,0.98,1.51122963284,1.45042066355,0.0608089692913,1.57401464264
-2.3,18.40253184,-2.3,nan,nan,nan,-2.3,nan,nan,nan,1.02,0.67611323666,0.653651850033,0.0224613866272,0.594196954595
-2.22,15.4307584,-2.22,nan,nan,nan,-2.22,nan,nan,nan,1.06,0.106965788582,0.164085417793,0.0571196292107,0.160145073563
-2.14,12.811968,-2.14,nan,nan,nan,-2.14,nan,nan,nan,1.1,0.069402123365,0.0822798605327,0.0128777371677,0.00873733163983
-2.06,10.5193728,-2.06,nan,nan,nan,-2.06,nan,nan,nan,1.14,0,0,0,0
-1.98,8.527168,-1.98,nan,nan,nan,-1.98,nan,nan,nan,1.18,0.0472730784134,0.0955555870329,0.0482825086194,0.0592617251723
-1.9,6.81053184,-1.9,6.52938389542,5.90432272271,0.625061172712,-1.9,6.52795489897,nan,nan,1.22,0.171836653968,0.144405068899,0.0274315850693,0.146907842879
-1.82,5.3456256,-1.82,5.52401969167,5.18638091968,0.337638771991,-1.82,5.80376551222,6.35241221238,0.548646700167,1.26,0.259806093208,0.329519169569,0.0697130763602,0.242297763335
-1.74,4.1095936,-1.74,3.71532449279,4.11293625648,0.397611763692,-1.74,4.96442569355,5.00224921431,0.0378235207676,1.3,0.344725875418,0.287838518106,0.056887357312,0.335092866553
-1.66,3.0805632,-1.66,2.89103511951,3.19245058155,0.301415462036,-1.66,3.72236063026,3.97091291521,0.248552284945,1.34,0.418571833521,0.425535745108,0.00696391158735,0.420528813847
-1.58,2.2376448,-1.58,2.11134985903,2.15187274426,0.0405228852287,-1.58,2.88688846311,3.307315452,0.420426988892,1.38,0.486696158494,0.488218120583,0.00152196208957,0.496818755359
-1.5,1.56093184,-1.5,1.4548153812,1.606710405,0.1518950238,-1.5,2.20144050112,2.55513836898,0.353697867858,1.42,0.504209115526,0.606844803113,0.102635687586,0.563722142071
-1.42,1.0315008,-1.42,0.979599410917,1.057343883,0.0777444720829,-1.42,1.6408137165,2.02996518403,0.389151467527,1.46,0.575317448394,0.622690481655,0.0473730332611,0.621757460302
-1.34,0.6314112,-1.34,0.569081019126,0.572337705859,0.00325668673314,-1.34,1.23716409173,1.57901807842,0.341853986685,1.5,0.732454326538,0.731833427454,0.000620899084481,0.671773186735
-1.26,0.3437056,-1.26,0.269774485748,0.321249173518,0.0514746877705,-1.26,0.945481908007,1.34548196208,0.400000054072,1.54,0.696176286477,0.745272153856,0.0490958673795,0.714718731783
-1.18,0.1524096,-1.18,0.063501283311,0.186011698176,0.122510414865,-1.18,0.839317280073,1.12961975352,0.290302473444,1.58,0.735556128782,0.792528814666,0.0569726858838,0.751526942263
-1.1,0.04253184,-1.1,0.0413565318776,0.0311632152431,0.0101933166345,-1.1,0.677565169263,1.11553508429,0.437969915028,1.62,0.710296575635,0.781599543677,0.0713029680424,0.783058419478
-1.02,6.40000000003e-05,-1.02,0.0675216301195,0.0146242205215,0.052897409598,-1.02,0.620801408135,1.02141766961,0.400616261479,1.66,0.900060042065,0.853803107839,0.0462569342254,0.810079568394
-0.94,0.0119808,-0.94,0,0,0,-0.94,0.511019575978,1.01125980249,0.500240226511,1.7,0.820739103626,0.805061617296,0.0156774863303,0.833258521851
-0.86,0.06624,-0.86,0.0322966639593,0.0589840652106,0.0266874012513,-0.86,0.776479166094,1.02652270603,0.250043539936,1.74,0.935602673059,0.897358673679,0.0382439993801,0.853170030238
-0.78,0.1517824,-0.78,0.196464459718,0.225657470171,0.0291930104527,-0.78,0.864283330775,1.21599345238,0.351710121602,1.78,0.805533522633,0.824842684885,0.0193091622516,0.870304367723
-0.7,0.25853184,-0.7,0.294397997965,0.239614481942,0.0547835160234,-0.7,0.873847334163,1.26653904542,0.392691711261,1.82,0.936814586786,0.851065309726,0.0857492770601,0.885077565854
-0.62,0.3773952,-0.62,0.448394878164,0.397478745779,0.0509161323859,-0.62,0.979465680734,1.46511226921,0.485646588479,1.86,0.922361243528,0.839838457913,0.0825227856145,0.897841570322
