lag,normalized_vacf
0,1
1,0.796732041192
2,0.410163202209
3,0.0577947715756
4,-0.168017229257
5,-0.266790902514
6,-0.277640004632
7,-0.245647449017
8,-0.198743839776
9,-0.152382405209
10,-0.112183365123
11,-0.0826573794428
12,-0.0636992937933
13,-0.060964109754
14,-0.0666774486173
15,-0.0686103429767
16,-0.0627475196473
17,-0.0453986778607
18,-0.020727394903
19,0.00369071902739
20,0.022730993052
21,0.0312306339799
22,0.028991997127
23,0.0199730132817
24,0.00993541923646
25,0.00118782368947
26,-0.00113222654549
27,0.0021658093935
28,0.00717412048689
29,0.0106168325535
30,0.0167014689228
31,0.0258227396808
32,0.0302499081578
33,0.019106695622
34,-0.0074404269521
35,-0.0370879888415
36,-0.0511525900898
37,-0.0522366345396
38,-0.0488476024494
39,-0.0457488097971
40,-0.0398172118348
41,-0.0268888825864
42,-0.00637648760744
43,0.019013459614
44,0.0404708394355
45,0.0478142653869
46,0.0452996751774
47,0.0427283850444
48,0.0386978529306
49,0.0333202874464
50,0.025247470246
