time,position,velocity,exact_position,exact_velocity,energy
0,1,0,1,0,0.5
0.12,0.9928,-0.119568,0.992808635854,-0.119712207289,0.499974173312
0.24,0.97130368,-0.2374142208,0.971337974852,-0.237702626427,0.49989817551
0.36,0.935820587008,-0.35184167682,0.935896823678,-0.352274233275,0.499776368308
0.48,0.886861677563,-0.461202612695,0.886994922779,-0.461779175541,0.499615742543
0.6,0.825131959961,-0.563922230946,0.82533561491,-0.564642473395,0.499425516952
0.72,0.751520342136,-0.658521369072,0.751805729141,-0.659384671971,0.499216609084
0.84,0.667086831384,-0.743637799483,0.667462825841,-0.744643119971,0.499001008713
0.96,0.57304727026,-0.818045845582,0.573519986072,-0.819191568301,0.498791089713
1.08,0.470755828444,-0.880674031504,0.471328364174,-0.881957806885,0.49859889989
1.2,0.361685502699,-0.930620511373,0.362357754477,-0.932039085967,0.498435469525
1.32,0.247406905715,-0.967166055878,0.248175451652,-0.968715100118,0.498310178319
1.44,0.129565649288,-0.989784409178,0.130423708738,-0.991458348192,0.498230217063
1.56,0.0098586475122,-0.998149866986,0.0107961170583,-0.99994172023,0.498200174947
1.68,-0.109990318788,-0.992141966709,-0.10898675224,-0.994043202198,0.498221776166
1.8,-0.228255424498,-0.971847222112,-0.227202094693,-0.973847630878,0.49829378097
1.92,-0.343233652095,-0.937557877516,-0.342149651151,-0.939645473685,0.498412056812
2.04,-0.453269315102,-0.889767699485,-0.452176162141,-0.891928650953,0.49856981553
2.16,-0.556777899971,-0.82916486658,-0.555699146251,-0.831383460779,0.498758002934
2.28,-0.652268883081,-0.756622059597,-0.651229660528,-0.758880708181,0.498965818453
2.4,-0.738367194275,-0.673183894956,-0.737393715541,-0.675463180551,0.499181335004
2.52,-0.813833017871,-0.580051882227,-0.8129520371,-0.582330649524,0.499392183526
2.64,-0.877579646009,-0.478567122394,-0.876817890394,-0.480822614989,0.499586262863
2.76,-0.928689127245,-0.370190995999,-0.928072710209,-0.372399039425,0.499752434291
2.88,-0.966425485049,-0.256484119261,-0.965979312398,-0.258619349661,0.499881160793
3,-0.990245315868,-0.139083871206,-0.9899924966,-0.14112000806,0.499965054414
3.12,-0.999805614138,-0.0196808154059,-0.999766887713,-0.0215909757261,0.499999300279
3.24,-0.994968711565,0.100005644136,-0.995161903324,0.0982485937451,0.499981932927
3.36,-0.975804259546,0.218252022403,-0.976243775672,0.216675080387,0.499913949115
3.48,-0.942588226189,0.333355571547,-0.943284599048,0.331985188221,0.499799250615
3.6,-0.895798922374,0.443658800461,-0.896758416334,0.442520443295,0.499644420277
3.72,-0.836110114078,0.547573342648,-0.837334400974,0.546691047069,0.499458344221
3.84,-0.764381320139,0.643602828701,-0.765867232435,0.642998742054,0.499251701845
3.96,-0.68164543519,0.730364434021,-0.683384803583,0.730058360839,0.499036352899
4.08,-0.589093855974,0.806608791491,-0.591073436783,0.806617748583,0.498824656828
4.2,-0.488059325232,0.871237982363,-0.490260821341,0.871575772414,0.498628763429
4.32,-0.379996740207,0.923321346289,-0.382396917713,0.923998158723,0.498459915541
4.44,-0.266462202123,0.962108882829,-0.269033103117,0.963130930573,0.498327803789
4.56,-0.149090608328,0.987042051456,-0.151799858498,0.988411251939,0.498240010417
4.68,-0.0295721097732,0.997761814542,-0.0323833177597,0.999475522827,0.498201574117
4.8,0.0903722271622,0.994113807499,0.0874989834394,0.996164608836,0.498214700851
4.92,0.209015204026,0.976150561627,0.206122810534,0.978526129941,0.49827863724
5.04,0.324648361953,0.944130747669,0.32178202925,0.946813775593,0.498389713806
5.16,0.435606583467,0.898515450944,0.432813144469,0.901483655966,0.498541555572
5.28,0.540292070179,0.839961531725,0.537619225831,0.843187741856,0.498725447938
5.4,0.637197351081,0.769312166449,0.634692875943,0.772764487556,0.498930836836
5.52,0.724926990127,0.687584705977,0.722637910871,0.691226771597,0.499145934454
5.64,0.802217680515,0.595956025738,0.800189441073,0.599747328794,0.499358395772
5.76,0.867956436304,0.495745578729,0.866232063962,0.499641883117,0.499556027076
5.88,0.92119661941,0.388396395386,0.919815906437,0.392350223991,0.499727485781
6,0.961171571197,0.27545430395,0.96017028665,0.279415498199,0.499862931421
6.12,0.987305652358,0.158545670536,0.986714798517,0.162462015215,0.499954590412
6.24,0.999222532126,0.0393539794673,0.999067659534,0.0431718852087,0.499997202204
6.36,0.99675060743,-0.080404408906,0.997051201859,-0.0767391742925,0.499988321192
